,测试因子,年化收益率,年化夏普率,最大回撤率,alpha,beta,信息比率
0,CDLCONCEALBABYSWALL,0.015420202377625092,-0.10533062514413366,0.23229403745771335,0.026758866348447864,0.5935777870795947,0.34979981069666916
1,CDLSHOOTINGSTAR,0.015420202377625092,-0.10533062514413366,0.23229403745771335,0.026758866348447864,0.5935777870795947,0.34979981069666916
2,CDLEVENINGDOJISTAR,0.015420202377625092,-0.10533062514413366,0.23229403745771335,0.026758866348447864,0.5935777870795947,0.34979981069666916
3,CDLENGULFING,0.015420202377625092,-0.10533062514413366,0.23229403745771335,0.026758866348447864,0.5935777870795947,0.34979981069666916
4,CDLPIERCING,0.015420202377625092,-0.10533062514413366,0.23229403745771335,0.026758866348447864,0.5935777870795947,0.34979981069666916
5,CDLINVERTEDHAMMER,0.015420202377625092,-0.10533062514413366,0.23229403745771335,0.026758866348447864,0.5935777870795947,0.34979981069666916
6,BasicEPS,0.02118349322710711,0.027502387030057363,0.2536317465618341,0.03190676836335685,0.5850358572254315,0.39350941448417415
7,EPS,0.04020079312723812,0.47984213218179594,0.2005036433805834,0.04964506204462352,0.5780954548782811,0.5491027242298611
8,NetAssetPS,-0.016139391548157134,-0.7895733654016855,0.26197380023636024,-0.0018349298180979268,0.6447427846232905,0.1076608448632468
9,TORPS,-0.006846621344338999,-0.6680130596764801,0.25204196887187297,0.001208707112640573,0.5422741699082839,0.17698125212015023
10,OperatingProfitPS,-0.0026854277767357493,-0.5462551307950365,0.26536992441772744,0.00682547574116714,0.5652774904671828,0.2103437275444324
11,CashFlowPS,-0.010649152047102373,-0.7452066551967,0.19143285556983447,-0.001860966548174663,0.5499512548227521,0.1456366471087412
12,EnterpriseFCFPS,0.09996223420437556,1.8288612287760626,0.1691829462841007,0.10522465333710923,0.5452231471070897,0.9170813895181444
13,RSTR12,-0.13038483562477343,-3.167551553117839,0.3682677125329,-0.12511746014714617,0.6194920806232042,-0.7251549271525534
14,RSTR24,0.02640207102829839,0.13043447482742865,0.25171336761320934,0.04343486514803267,0.6745754140949497,0.42248478797445566
15,FY12P,0.05956847692549738,1.0239755486794508,0.17104012627942,0.06493085445197917,0.5341503745684829,0.7127925411233788
16,SFY12P,0.023837733288698537,0.09416278836977601,0.20835642623613704,0.03229567853270513,0.552330333633344,0.4163006074800738
17,PBIndu,-0.006873040955914345,-0.6102964895033347,0.2656283455348461,0.0046571934366010275,0.5869809511039168,0.17167183606039427
18,PCFIndu,-0.058997626949452875,-1.8105110000348004,0.3261242485991302,-0.050008471146008066,0.5689171956756042,-0.21659171369056496
19,PEIndu,0.03839407220792879,0.44299582853129266,0.22199963706200482,0.046517941319215605,0.5452331131939389,0.5111331490830063
20,PSIndu,0.019149861146184,-0.019790807011386434,0.19500963047631242,0.0282870556735587,0.5363013616816399,0.3472391398125026
21,EPIBS,0.05956847692549738,1.0239755486794508,0.17104012627942,0.06493085445197917,0.5341503745684829,0.7127925411233788
22,FEARNG,-0.02774011981476243,-1.1570029618355866,0.22740144140072752,-0.018778474728445578,0.5638386446979373,0.015009418425995291
23,FSALESG,-0.031960988377626176,-1.2502900873597782,0.21285305821036404,-0.025538462544291183,0.48751263504382136,-0.01573695740631856
24,EgibsLong,-0.01128761663484279,-0.7192437988421952,0.2819362935717852,-0.000726715746792281,0.5676729476736322,0.13578537813248048
25,APO,-0.04322010137905519,-1.48430379261729,0.20585731031751542,-0.03472015296333728,0.54617472716693,-0.09908565903695254
26,AVGPRICE,0.03020352254514802,0.236102725744354,0.2611262246006662,0.03945862427419345,0.5450217739601115,0.42908155371830536
27,BOP,0.031029725528055607,0.2628470718482616,0.12303764189175251,0.03999222915009529,0.5557801038409764,0.4589185904089412
28,KAMA,0.022014178229327497,0.048308303032093804,0.2147560662346371,0.030935148171660792,0.5518582434615962,0.3909231194337302
29,LINEARREG,0.03046864874449473,0.24013091323894198,0.2922561164371613,0.040181667356756746,0.5530988615232896,0.4323823250273798
30,STDDEV,0.03514289460960773,0.3559591905404093,0.15768499293309893,0.04369218571339232,0.5398642215648097,0.468875345039523
31,TSF,0.015891641215266317,-0.09972195464869123,0.29668590618605695,0.023344925784038868,0.5131763566060998,0.3264149081065193
